id,N,time_steps,train_time,model,Ts,Tt,vi_reward,rl_reward,vi_ns,rl_ns,vi_distance,rl_distance,distribution
122,300,3000,0 days 00:00:06.924245000,ACER,1,1,-7.218802999999224,-8.018232333333351,6.3484,6.7959,261.1209,366.6997,uniform
123,300,3000,0 days 00:00:06.754378000,ACER,1,1,-7.24133933333257,-10.899616333333318,6.3714,9.058,260.9818,552.4849,uniform
124,300,3000,0 days 00:00:06.991167000,ACER,1,1,-7.251170666665917,-13.150131666667047,6.3794,9.9589,261.5312,959.1175,uniform
125,300,3000,0 days 00:00:07.244542000,ACER,1,1,-7.2266866666659295,-7.552644666666497,6.3566,6.4955,261.026,317.1434,uniform
126,300,3000,0 days 00:00:07.111988000,ACER,1,1,-7.252732333332584,-14.586855333333448,6.3818,12.5638,261.2797,608.5151,uniform
127,300,3000,0 days 00:00:06.840938000,ACER,1,1,-7.227373999999223,-8.256239999999956,6.3576,6.9287,260.9322,398.26199999999994,uniform
128,300,3000,0 days 00:00:06.911297000,ACER,1,1,-7.222873999999227,-8.708061333333413,6.3535,7.1639,260.8122,463.2484,uniform
129,300,3000,0 days 00:00:07.034078000,ACER,1,1,-7.2367069999992415,-9.067240000000076,6.3673,7.9361,260.8221,339.342,uniform
130,300,3000,0 days 00:00:06.912131000,ACER,1,1,-7.230486666665892,-8.47973533333338,6.3603,7.4886,261.056,297.3406,uniform
131,300,3000,0 days 00:00:06.888685000,ACER,1,1,-7.229375999999213,-8.255401000000072,6.3593,7.3104,261.0228,283.5003,uniform
132,300,3000,0 days 00:00:07.322231000,ACER,1,1,-7.212193999999247,-17.02769100000032,6.3423,12.3657,260.9682,1399.3694,uniform
133,300,3000,0 days 00:00:07.036796000,ACER,1,1,-7.253518999999219,-12.533909666666643,6.3827,11.9699,261.2457,169.2029,uniform
134,300,3000,0 days 00:00:06.936657000,ACER,1,1,-7.223504999999237,-10.655872333333257,6.3533,10.0707,261.0615,175.5517,uniform
135,300,3000,0 days 00:00:07.257732000,ACER,1,1,-7.224237666665907,-23.490530333333272,6.3537,16.2815,261.1613,2163.6433,uniform
136,300,3000,0 days 00:00:07.148533000,ACER,1,1,-7.230005333332538,-9.174147000000158,6.3594,7.8993,261.1816,382.4541,uniform
137,300,3000,0 days 00:00:06.996757000,ACER,1,1,-7.2150476666658845,-13.574559333333525,6.3456,13.004000000000001,260.8343,172.7581,uniform
139,300,3000,0 days 00:00:07.338291000,ACER,1,1,-7.239682666665912,-9.124802999999963,6.3686,7.979,261.3248,343.7409,uniform
140,300,3000,0 days 00:00:07.852068000,ACER,1,1,-7.235702333332544,-8.775022333333334,6.3654,7.2366,261.0907,461.5267,uniform
141,300,3000,0 days 00:00:07.084217000,ACER,1,1,-7.225963666665884,-9.219446666666602,6.3559,7.5778,261.0191,492.494,uniform
2,300,3000,0 days 00:00:07.235689000,ACER,1,1,-7.237609333332541,-10.058834666666543,6.3675,8.7424,261.0328,394.9304,uniform
0,300,300000,0 days 00:13:33.646026000,ACER,1,1000,-527.3505333333325,-582.8340333333351,16.3122,83.1177,155.2119,172.4421,truncnorm
